"Match Number","Team Number","Is the robot on the field?","Leave","Auto algae remove","Auto Algae Missed","Auto Processor Scored","Auto Net Scored","Auto L4 Coral","Auto L3 Coral","Auto L2 Coral","Auto L1 Coral","Auto Coral Missed","Did this team remove algae?","Algae Missed","Processor scored","Net scored","L4 Coral","L3 Coral","L2 Coral","L1 Coral","Coral Missed","Climb Status","Did this robot defend?","Did the robot break?","Did the bot seem like it performed at its peak capacity?",""
1,9567,"Y","Y","Y","","","","","","",1,"","Y","",2,"","","","",2,"","Shallow Climb","Not at all","",2,""
60,3826,"Y","Y","N","","","","","","",1,"","N","",4,"","","","","","","Deep Climb","Partially","",4,""
60,4513,"Y","Y","N","","","",2,"","","","","Y","","","",2,4,4,1,3,"Deep Climb","Not at all","",4,""
59,9567,"Y","Y","Y","","","","","","",1,"","Y","",6,"","","","","","","Shallow Climb","Not at all","",4,""
59,492,"Y","Y","Y","","","","","","","","","Y","","","",4,2,3,"","","Deep Climb","Not at all","",4,""
59,5468,"Y","Y","N","","","",1,"","","","","N","","","",4,5,3,"","","Deep Climb","Not at all","",5,""
59,9036,"Y","Y","N","","","","","","",1,0,"Y","","","",4,4,2,"",2,"No Climb","Not at all","",4,""
58,6443,"Y","Y","N","","","","","","","",1,"N","","","","","","","","","Deep Climb","Entire match","",2,""
60,2930,"Y","Y","N","","","",2,"","","",1,"Y","","","",6,5,4,"","","Deep Climb","Not at all","",5,""
58,9446,"Y","Y","N","","","",1,"","","",0,"N","","","","",1,2,"",1,"No Climb","Partially","Minor Break",2,""
57,3574,"Y","Y","N","","","","","","","",1,"N","","","","","",2,"",3,"No Climb","Not at all","Minor Break",3,""
57,2976,"Y","Y","N","","","",1,"","","",2,"Y","","","",1,3,1,"",4,"No Climb","Not at all","Minor Break",3,""
57,360,"Y","Y","N","","","",2,"","","","","Y","",2,4,1,3,1,1,1,"No Climb","Not at all","",4,""
57,4512,"Y","Y","N","","","",3,"","","","","N","","","",3,7,5,1,1,"No Climb","Not at all","",5,""
56,997,"Y","Y","N","","","","","","","",1,"Y","",2,"","",1,3,"",2,"No Climb","Not at all","",3,""
56,10079,"Y","Y","N","","","",3,"","","","","Y","","","",2,6,3,2,3,"No Climb","Not at all","",4,""
56,955,"Y","Y","N","","","",3,0,"","","","N",0,"","",3,5,2,"",1,"No Climb","Partially","Minor Break",3,""
58,2046,"Y","Y","N","","","",2,"","","","","Y",1,2,3,6,5,3,"",1,"Deep Climb","Not at all","",5,""
61,4450,"Y","Y","N","","","","","","","","","N","",1,"",0,"",4,"",1,"No Climb","Not at all","",3,""
61,6696,"Y","Y","N","","","",2,0,"","","","Y","","",4,1,2,2,2,"","No Climb","Not at all","",4,""
61,4469,"Y","Y","N","","","",2,"","","","","Y","","","",4,4,2,"","","No Climb","Not at all","",4,""
67,3826,"Y","Y","N","","","",0,"","","","","Y","",3,"","","","","","","Deep Climb","Partially","",2,""
66,1318,"Y","Y","N","","","",1,"","","","","Y","","",2,2,2,2,3,1,"No Climb","Not at all","",4,""
66,4915,"Y","Y","N","","","",3,"","","","","Y","","","",5,1,1,3,"","No Climb","Not at all","",4,""
66,6343,"Y","Y","N","","","",1,"","","","","N","","","",2,1,3,2,3,"No Climb","Not at all","",4,""
65,9442,"Y","Y","N","","","","","","","","","Y","","","",4,7,4,3,2,"No Climb","Not at all","",5,""
65,488,"Y","Y","N","","","",2,"","","","","Y","","","",7,7,"","",1,"No Climb","Not at all","",5,""
65,4131,"Y","Y","N","","","","","","",1,"","N","",3,"","","","","","","No Climb","Not at all","Minor Break",1,""
64,2046,"Y","Y","N","","","",3,"","","","","Y",2,2,1,4,5,3,"","","Deep Climb","Not at all","",5,""
64,2471,"Y","Y","N","","","",2,"","","","","Y","",1,"","",7,3,"",2,"No Climb","Not at all","",5,""
64,1540,"Y","N","N","","","","","","","",1,"Y",1,"",2,2,4,3,1,2,"Deep Climb","Not at all","",4,""
63,997,"Y","Y","N","","","","","","","","","N","","","",5,"",1,"",1,"No Climb","Not at all","",2,""
63,9446,"Y","Y","N","","","","","","","","","Y","",2,"",5,"","",1,"","No Climb","Not at all","",4,""
63,3574,"Y","Y","N","","","","","","","","","Y","","","","",1,"",1,1,"Deep Climb","Not at all","",2,""
