"Match Number","Team Number","Is the robot on the field?","Leave","Auto algae remove","Auto Algae Missed","Auto Processor Scored","Auto Net Scored","Auto L4 Coral","Auto L3 Coral","Auto L2 Coral","Auto L1 Coral","Auto Coral Missed","Did this team remove algae?","Algae Missed","Processor scored","Net scored","L4 Coral","L3 Coral","L2 Coral","L1 Coral","Coral Missed","Climb Status","Did this robot defend?","Did the robot break?","Did the bot seem like it performed at its peak capacity?",""
1,9567,"Y","Y","Y","","","","","","",1,"","Y","",2,"","","","",2,"","Shallow Climb","Not at all","",2,""
24,957,"Y","Y","N","","","","","","","","","Y","","","",3,2,3,"",0,"Deep Climb","Not at all","",2,""
24,4043,"Y","Y","N","","","",2,"","","","","Y","","","",2,5,3,"",3,"Deep Climb","Not at all","",5,""
24,1425,"Y","Y","N","","","",2,"","","","","Y","","","",3,2,3,5,"","No Climb","Not at all","",4,""
23,2471,"Y","Y","Y","","","","",1,"","","","Y","","","",4,6,"","",2,"Deep Climb","Not at all","",4,""
23,5468,"Y","Y","Y",0,"","",3,"","","","","Y","","","",5,4,5,1,"","Deep Climb","Not at all","",3,""
23,955,"Y","Y","N","","","",1,"","","",1,"Y","","","",3,1,"","",2,"No Climb","Partially","",3,""
23,3826,"Y","Y","N","","","","","","",1,"","N","","","","","","","","","No Climb","Entire match","",4,""
22,997,"Y","Y","N","","","",1,"","","","","Y","","",0,"","",1,"",2,"No Climb","Partially","",2,""
22,4450,"Y","Y","Y","",0,1,1,"","","","","Y","",2,"","",2,2,"",1,"No Climb","Not at all","",3,""
22,4915,"Y","Y","N","","","",1,"","","","","Y","","","",4,4,5,"",1,"No Climb","Not at all","",3,""
22,2147,"Y","Y","Y","","","",1,"","","","","Y","",2,"","",3,"","",3,"No Climb","Not at all","",2,""
21,3218,"Y","Y","Y","","","",0,"",0,"","","N","","","",3,"",1,"","","No Climb","Not at all","",3,""
24,2522,"Y","Y","N","","","",3,"","","","","Y","","","",2,3,5,4,3,"Deep Climb","Not at all","",3,""
21,2930,"Y","Y","N","","","",2,"","","","","N","","","",2,3,4,4,"","Deep Climb","Not at all","",4,""
21,492,"Y","Y","N",0,"",0,1,"","","","","N","","","",3,5,4,3,"","Deep Climb","Not at all","Minor Break",4,""
20,2557,"Y","Y","N","","","","","","",2,"","Y",2,0,3,2,"","",4,"","Deep Climb","Not at all","",3,""
20,5937,"Y","N","N","","","","","","","",1,"Y",2,"",5,"","","","","","Deep Climb","Not at all","",4,""
20,9023,"Y","Y","N","","","",3,"","","","","Y","","","",3,5,5,"",1,"No Climb","Not at all","",4,""
20,10079,"Y","Y","N","","","",3,"","","","","N","","","",5,5,"","",3,"No Climb","Not at all","",3,""
19,2046,"Y","Y","N","","","",3,"","","","","N",1,1,1,"",2,4,3,4,"Deep Climb","Not at all","",3,""
19,7034,"Y","Y","N","","",0,2,0,0,0,"","N","","","",5,3,3,"","","No Climb","Not at all","",3,""
19,948,"Y","Y","N","","","",1,"","","","","N","","","",3,"",3,5,"","Deep Climb","Not at all","",5,""
19,6343,"Y","Y","N","","","",1,"","","","","Y","","","",1,3,3,1,2,"Deep Climb","Not at all","",4,""
18,9446,"Y","Y","N","","","","","","","","","N","","","",2,"",3,1,"","No Climb","Not at all","",3,""
18,9036,"Y","Y","N","","","","","","",1,"","Y","","","",3,4,2,1,"","No Climb","Not at all","",4,""
18,2976,"Y","Y","N","","","","","","","",2,"N","","","","","","","","","No Climb","Entire match","",2,""
21,3636,"Y","N","N","","",0,2,"","","","","Y",0,"",1,8,"",2,2,2,"No Climb","Not at all","",4,""
18,488,"Y","Y","N","","","",2,"","","","","Y","",1,0,3,5,2,1,1,"No Climb","Not at all","",4,""
25,9450,"Y","N","Y","","","",3,"","","","","N","","",2,2,2,2,6,1,"Deep Climb","Not at all","",5,""
25,6443,"Y","Y","N","","","","","","",1,1,"N","","","","","","","","","Deep Climb","Entire match","",1,""
13,3674,"Y","Y","N","","","",2,"","","",1,"N","","","",2,5,3,"","","Deep Climb","Not at all","",5,""
12,360,"Y","Y","N","","","",2,"","","","","N",1,1,"",5,5,"","",1,"Deep Climb","Not at all","",5,""
11,6443,"Y","Y","N","",2,"","","","","",1,"N","","","","","","","",2,"Deep Climb","Partially","",2,""
10,2910,"Y","Y","Y","","","",2,"","","","","Y","","",3,5,6,6,6,"","Deep Climb","Not at all","",5,""
9,2412,"Y","Y","N","","","",1,"","","","","Y","","","",6,2,2,"","","Deep Climb","Not at all","",4,""
8,3636,"Y","Y","N","","","","","","","",2,"Y","","",2,4,4,3,1,1,"No Climb","Not at all","",5,""
30,4131,"Y","Y","N","","","","","","","","","N","",5,"","","","","","","Deep Climb","Not at all","",5,""
30,2557,"Y","Y","Y","","",1,"","","",1,"","Y",2,2,4,"","","",6,"","No Climb","Not at all","",5,""
30,360,"Y","Y","N","","","",2,"","","","","Y","","","",4,4,"","",5,"Deep Climb","Not at all","",4,""
30,4513,"Y","Y","N","","","","","","","",2,"N","","","",5,2,2,1,1,"Deep Climb","Not at all","",4,""
29,3663,"Y","Y","N","","","",3,"","","","","Y","","","",3,5,1,2,"","Deep Climb","Not at all","",5,""
29,2147,"Y","Y","Y",2,"","",1,"","","","","Y",1,"",1,3,3,2,"","","No Climb","Not at all","",4,""
25,1778,"Y","Y","N","","","",3,"","","","","Y","","",2,4,8,7,"",1,"No Climb","Not at all","",5,""
29,10416,"Y","N","Y","","","",1,"","","","","N","","","",3,5,1,0,"","No Climb","Not at all","",4,""
28,4125,"Y","Y","N","","","","","","","","","N","","","","",1,"","","","No Climb","Partially","",1,""
28,6696,"Y","Y","Y","","",1,1,"","","","","Y","","",2,1,2,2,2,2,"No Climb","Not at all","",4,""
28,10079,"Y","Y","N","","","",3,"","","","","N","","","",2,1,0,1,3,"No Climb","Not at all","",2,""
28,4450,"Y","Y","Y","","",2,1,"","","","","Y","","",3,4,2,"",1,1,"Deep Climb","Not at all","",5,""
27,492,"Y","Y","N","","","",0,"","","",1,"N","","","",4,"","","","","No Climb","Partially","",2,""
27,4915,"Y","Y","N","","","",1,"","","",1,"Y","","","",4,5,"","",1,"Deep Climb","Not at all","",4,""
27,6831,"Y","Y","N","","","","","",1,1,"","Y","","","","",5,2,0,"","No Climb","Not at all","",4,""
26,2412,"Y","Y","N","","","",1,"","","",1,"Y","",2,"",4,1,4,"",1,"Deep Climb","Not at all","",5,""
26,7034,"Y","Y","N","","","",2,"","","",1,"Y","","","",4,5,"","","","No Climb","Not at all","",2,""
26,5937,"Y","Y","N","",0,1,"","","","","","Y","",2,2,"","","","","","Deep Climb","Not at all","Major Break",2,""
26,488,"Y","Y","N",1,"","",1,"","","","","N","","","",4,4,"",3,3,"No Climb","Not at all","",3,""
25,3674,"Y","Y","N","","","",3,"","","","","N","","","",1,5,2,"",1,"Deep Climb","Not at all","",4,""
29,3826,"Y","Y","N","","","","","","","","","Y","",2,"","","","","","","Deep Climb","Partially","",4,""
14,9442,"Y","Y","N","","","",3,"","","","","Y",1,"",4,3,8,3,"",1,"No Climb","Not at all","",5,""
17,360,"Y","Y","Y","","","",1,"","","","","Y","","","",2,2,4,0,1,"No Climb","Not at all","",3,""
17,4512,"Y","Y","Y","","",1,1,"","","","","N",1,0,0,4,3,4,"","","No Climb","Not at all","",5,""
7,2930,"Y","Y","N","","","",3,"","","","","Y","","","",3,6,5,1,"","Deep Climb","Not at all","",4,""
7,2046,"Y","N","N","","","",1,"","","",1,"N",2,1,2,3,3,2,5,"","Deep Climb","Not at all","",4,""
7,488,"Y","N","N","","","","","","","",1,"Y",1,"",1,3,"",1,1,4,"No Climb","Not at all","",2,""
6,3826,"Y","Y","N","","","","","","","","","N","","","","","","","","","No Climb","Entire match","",2,""
6,10079,"Y","Y","N","","","",2,"","","","","Y","","","",4,3,3,"",1,"No Climb","Not at all","",4,""
6,9036,"Y","Y","N","","","","","","",1,"","Y","","","",6,2,2,"","","No Climb","Not at all","",4,""
6,4469,"Y","Y","N","","","",2,"","","",1,"Y",3,"",1,"",1,"","","","No Climb","Not at all","",2,""
5,4061,"Y","Y","N","","","","",0,0,0,0,"N","","","",0,6,2,2,4,"No Climb","Not at all","",4,""
5,5937,"Y","Y","Y","","",1,"","","","","","N",2,2,5,"","","","","","No Climb","Not at all","",5,""
5,2471,"Y","Y","Y","","","","","","","",1,"Y",1,0,4,"",4,"",1,"","No Climb","Not at all","",4,""
5,4513,"Y","N","N","","","",2,0,"","",1,"N","","","",3,"",1,2,1,"No Climb","Not at all","",3,""
4,9446,"Y","Y","N","","","","","","","","","N","","","","","","","","","No Climb","Partially","",3,""
7,3574,"Y","Y","N","","","","","","","","","Y","","","","","",6,2,1,"Deep Climb","Not at all","",3,""
4,4131,"Y","Y","N","","","","","","","","","N","",7,"","","","","","","Deep Climb","Not at all","",5,""
4,9023,"Y","N","N","","","",1,"","","",1,"N","","","",3,5,3,0,"","No Climb","Not at all","",4,""
3,3674,"Y","Y","N","","","",0,"","","","","N","","","",4,5,3,"",2,"Deep Climb","Not at all","",4,""
3,997,"Y","Y","N","","","","","","","","","N","","","",1,2,4,"",1,"No Climb","Not at all","",3,""
3,7034,"Y","N","N",0,"","",1,"","","",1,"Y","","",0,6,2,3,"","","No Climb","Not at all","",3,""
3,9450,"Y","N","N","","","",2,0,"","",1,"Y","","",4,5,2,"","","","Deep Climb","Not at all","",4,""
2,948,"Y","Y","N","","","","","","","","","Y","","","",2,2,"",5,"","No Climb","Not at all","",3,""
2,9442,"Y","Y","N","","","",1,"","","",2,"Y","","","",5,6,8,"","","No Climb","Not at all","",4,""
2,5468,"Y","Y","N","","","",3,"","","","","Y","",0,"",3,7,4,"",1,"Deep Climb","Not at all","",4,""
2,4043,"Y","N","N","","","",2,"","","","","Y","","","",2,"",4,"","","Deep Climb","Not at all","",3,""
1,1778,"Y","Y","N","","","",2,"","","","","Y","","",3,5,3,3,7,"","No Climb","Not at all","",5,""
1,6831,"Y","Y","N","","","","","",1,"","","Y","","","","",4,"",1,1,"No Climb","Not at all","",3,""
1,2910,"Y","N","N","","","",2,2,"","","","Y","",2,"",3,4,3,2,1,"Deep Climb","Not at all","",4,""
4,6696,"Y","Y","N","","","",1,"",0,"",1,"Y",1,"",2,6,"","","","","No Climb","Not at all","",4,""
17,6831,"Y","Y","N","","","","","","",2,"","Y","","","","",4,1,"",1,"No Climb","Not at all","",3,""
8,955,"Y","Y","N","","","",1,"","","",1,"N","","","",1,"","","","","No Climb","Not at all","Minor Break",2,""
8,492,"Y","Y","N","","","","","","","",1,"N","","","",2,3,2,"",1,"Deep Climb","Not at all","",4,""
17,4043,"Y","Y","N","","","",2,"","","","","Y","","","",1,4,2,0,3,"Deep Climb","Not at all","",4,""
16,997,"Y","Y","N","","","","","","","","","N","","","",1,"",4,"","","No Climb","Not at all","",2,""
16,4915,"Y","Y","N","","","",2,"","","","","Y","","","",2,7,3,2,1,"No Climb","Not at all","",5,""
16,6696,"Y","Y","Y","","","",1,"","","","","Y","",0,1,2,3,4,1,1,"No Climb","Not at all","",4,""
16,9450,"Y","Y","Y","","","",1,"","","","","Y","","",3,3,2,"",3,"","Deep Climb","Not at all","",4,""
15,2522,"Y","Y","N","","","",3,"","","","","Y","","","",2,5,3,"",3,"Deep Climb","Not at all","",5,""
15,1778,"Y","Y","N","","","",3,"","","","","Y","",2,1,4,6,7,3,1,"No Climb","Not at all","",5,""
15,3636,"Y","Y","N","","","","","","","","","N","","","",7,4,"","","","No Climb","Not at all","",4,""
14,4125,"Y","Y","N","","","","","","","","","N","","","","","","","","","No Climb","Entire match","",2,""
14,957,"Y","Y","N","","","",1,"","","",1,"Y","","","",3,3,1,1,2,"Deep Climb","Not at all","",3,""
14,4469,"Y","Y","N","","","",1,"","","",1,"Y","","","",5,3,3,0,1,"No Climb","Not at all","",4,""
13,2147,"Y","Y","N","","","",1,"","","","","Y","",1,2,2,3,"","","","No Climb","Not at all","",4,""
8,4915,"Y","Y","N","","","",2,0,"","","","N","","","",3,5,3,"",2,"Deep Climb","Not at all","",3,""
13,2976,"Y","Y","N","","","","","","","","","Y","","","","","","","","","No Climb","Entire match","",1,""
12,10416,"Y","Y","N","","","","",0,"",1,1,"Y","","","",1,4,"","","","No Climb","Not at all","",4,""
12,6343,"Y","Y","N","","","",2,"","","","","Y","","","",4,4,2,"","","No Climb","Not at all","",4,""
12,10079,"Y","Y","N","","","",1,"","",0,0,"Y","","","",1,"",4,2,3,"No Climb","Not at all","",2,""
11,9036,"Y","Y","N","","","","","","",1,"","N","","","",2,6,"",2,1,"No Climb","Not at all","",4,""
11,3218,"Y","Y","Y","","","",2,"","","","","Y","","","",4,1,2,"",2,"Deep Climb","Not at all","",4,""
