"Team Number","What kind of drivetrain do you have?","What kind of coral intake do you have? (if any)","What coral levels can you score?","What can you do with algae?","What kind of climb can your robot do?","Can you give a description of your autos?","What is your favorite part of your team's robot?","What are common failure points on your robot OR the most recent thing that has been fixed?","How much does your robot weigh?","How much drive practice do your drivers have (hours)?","Describe your robot/strategy in a few words","Notes/Comments","Take a picture",""
9450,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","Three coral picking up two off the ground ones on left/right and scoring all on L4
Three coral scores the close sides like jacks but 3 coral and 1 dealgify 
3 L4 off source","Diffy","Wheels",114.1,100,"Win, always offensive, flexible","Super flexible","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FlqbA5R2LfBIgOh1tkQ3HAO.Take%20a%20picture.150951.jpg&appVersion=1.100278&signature=031f090cf1cc4a908c483e5eb250af500771ab071175241dc8a5edd6434b9b5f",""
4125,"Swerve","Coral Station","L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","","Center 1 l3, 2 alg barge","Alg attached to coral","Swapped around robot every comp",110,"","L3-2 flex, defense","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FIUOf5eDPyUnDMARXmgwNLy.Take%20a%20picture.183043.jpg&appVersion=1.100278&signature=00ceee155f2ba826ccaaf50d018d0efb4c2a915e97c3a2dd1f7cb9044a87ab21",""
4469,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","","Side auto, l4 for 2","Intake","Climber is not working",114,"","Flex, scoring l4","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FYrTJLpRDXb9mhUUfTKKcaI.Take%20a%20picture.183335.jpg&appVersion=1.100278&signature=508884b5f5f41621ebb37729586371437fa55f7c2ba5884a2ca2fab3e6e156ad",""
4512,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Net","","Left right 3 coral","Fabric, algae coral combined manipulation","Unlucky quals",103.2,24,"L4, 3, 2,","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FFIILdxfKw6S0KPW8mED7b9.Take%20a%20picture.184100.jpg&appVersion=1.100278&signature=7b3d7b522499320f46dda9bfd04d7c07de47f02d1912f4d45cd1135c796a5118",""
4061,"Swerve","Coral Station","L3 , L2 , L1","De-algae l2 , De-algae l3","",3,"Intake works cool","Autos",111.6,"","Flex, fill l3,2,1","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F35nHX4yFULQxJnluKUI3qu.Take%20a%20picture.184506.jpg&appVersion=1.100278&signature=0de309eee232533b0edc09ac1006de023c3553e301b69dca80cda380f60ea7f7",""
4450,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","Middle, score, algae in net x2","Climb","Vision,",110,"","Flex, net, coral","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FvacURVeh7WCkEsftH4uBJI.Take%20a%20picture.184826.jpg&appVersion=1.100278&signature=b7ebdd93e21515025e431eb28ba4b7c5001c0927fd11181b5839d0796178c717",""
6696,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","",2,"","",106,30,"Offense","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FrqwslBwNe46Ph68csANEKS.Take%20a%20picture.185252.jpg&appVersion=1.100278&signature=e8e8e7daa57cc2f7b1d5c82ba1a59e432635495fb5598edafba36046503966ff",""
6831,"Swerve","Coral Station","L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","Left middle right, l2 dislodge, l2 dislodge for l and r","Auto align","",113,30,"Coral rp","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FffwRa0moy4ys0DzCbVgwUt.Take%20a%20picture.185533.jpg&appVersion=1.100278&signature=477a77b499c6dfe5e899cfaaf5798fa05b7757b6720fb413228c19d7817b9df1",""
6343,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","Two coral ground, center place","Funnel","Software",107,"","Cycle","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FiEWl4O2E08jwpduPnJFMoR.Take%20a%20picture.185827.jpg&appVersion=1.100278&signature=4fdb4b22e6bd91f26b3dc3ae9b8b697740dad34bf0dc3578a19da65546739e5e",""
5937,"Swerve","","","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",3,"VISION","None",114.6,"","Clear reaf of algae and score net, steal algae from other side","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FHWWTV0lbPvZxTaHA3vU9B7.Take%20a%20picture.190324.jpg&appVersion=1.100278&signature=a1f54403bcee0999ffa97bb0b52c06a3f5448098b67564101cbe6dfe96a26db8",""
9023,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","Middle, 1+2 l and r","Fast","",108.6,"","Flex, cycles","Not a defense bot","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FWtbD2oJrnlt64yCRucLbVF.Take%20a%20picture.191514.jpg&appVersion=1.100278&signature=16febe403b96553d079a10d2ce3415b133a4640ce8700885b9e8d42cf512d40e",""
10079,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Processor","",3,"LIMELIGHT 4","No",114.5,"","Split reef, cycle top down","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FtLfTwG4EiMuCYhX5VAzSGZ.Take%20a%20picture.191853.jpg&appVersion=1.100278&signature=81c4870ad71991866417f8882116f6fd47ed9fd5848fcd23dad6716c704e5273",""
2930,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","Deep","One side, 3 coral autos","","Autos at slow",114,"","L4 and down","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FuHkjxqVhJj5TixR7fRbSKx.Take%20a%20picture.200120.jpg&appVersion=1.100278&signature=77f9ab37030e0efc199f1c8480fc599c12b319aa43a7f0eeef8e5fad6fec3435",""
3636,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","",3.5,"","Autos have been fixed",109,"","Coral cycles","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fp0NEZHagLUXEIWbPantFIS.Take%20a%20picture.200418.jpg&appVersion=1.100278&signature=940640d8779c51d19cc1d86535710ee31fdd68a7a971528e186e1d009f8d6488",""
997,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","",1,"","",110,"","Coral cycles, l4","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FDWMRBJjcq6h8NoTdUIemSq.Take%20a%20picture.200743.jpg&appVersion=1.100278&signature=bacf5e619462f7661c88fd4955bd71d8073f673ab3ab61be1bafb2867fee8559",""
1318,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","Deep",3,"","Autos",114,20,"Flex, coral + alg cycle","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fv48dB4V3e5iMyjv3t48FNJ.Take%20a%20picture.201134.jpg&appVersion=1.100278&signature=55478924f20ca33e0034b222379260e6d90ce72573e8be07a39247e9c605b137",""
1425,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","L and R 3 coral, as well as 2, middle is score alg","","",114,"","Depends","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FbRM4rqbsekKd5HCGLYpMcu.Take%20a%20picture.201417.jpg&appVersion=1.100278&signature=749601301cac9e5837eea5db0c64a293c4be762afd781f5575a0d769a7f37e94",""
1540,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",3.5,"","Intake ball slipped off",114.5,"","Depends on partners, coral cycles","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FRYamEkp4Y0LtrlXeePd2GI.Take%20a%20picture.201837.jpg&appVersion=1.100278&signature=428133f4c687c7e8ad1d7728d13bb37c240009e4d5b93365879054475f88dd2f",""
2522,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",3,"","Elevator",114.9,"","Cycle coral score coral and take algae off reef, split reef","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FhaUsOzAnlmXN0UO5v7nV1i.Take%20a%20picture.202443.jpg&appVersion=1.100278&signature=cbd9e7f33ce35575039272a359689156ce21448a818e284fd404e712b106f09b",""
4915,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","ANY BRANCH ANY LOCATION","Wiring (limelight’s)","Funnel",114.7,"","L4,3,2,1","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F86YAbMqNDZ42bJZiHG3uqB.Take%20a%20picture.214152.jpg&appVersion=1.100278&signature=2296067479842a9086a1124c80f7a98462a2d068fed997f9298be5bbe3af6433",""
4513,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",2,"Simple","Consistent autos",114.5,"","Cycle coral","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fmfsfz2TF9At1pvbE27qMI9.Take%20a%20picture.214456.jpg&appVersion=1.100278&signature=3a9a5e22d51f539cade41309bdc23db6697bb4a8fa1764808afcaff1143615c5",""
9442,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","",3,"","Algae is iffy sometimes, tippy",115,50,"Coral","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F0xohKb5WXSH3FVHRRPscMr.Take%20a%20picture.214748.jpg&appVersion=1.100278&signature=46ba5f3671926c81d9332bb6d06b8f4ff5bc221e3827793d71f21f72e5a8815f",""
