"Match Number","Team Number","Leave","Auto Processor Scored","Auto Net Scored","Auto L4 Coral","Auto L3 Coral","Auto L2 Coral","Auto L1 Coral","Auto Misses","Did this team remove algae?","Processor scored","Net scored","L4 Coral","L3 Coral","L2 Coral","L1 Coral","Climb Status","Notes/Comments","Did this robot defend?","Did any issues seem to occur during this match?",""
1,1899,"Y","","","","","","","","Y","","",1,"","","","No Climb","","Not at all","",""
38,3876,"Y","","","","","","","","N",1,"","","","","","No Climb","","Not at all","",""
38,3574,"Y","","","","","","","","N","","","",1,2,1,"No Climb","","Not at all","",""
38,2907,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
37,8051,"Y","","",1,0,0,0,"","Y","","",2,2,1,5,"Deep Climb","","Not at all","",""
37,488,"Y","","","","","","","","Y","","",8,1,"",1,"No Climb","","Not at all","Other",""
37,1294,"Y","","",0,"","","","","N","","","",1,1,1,"No Climb","","Not at all","",""
37,1318,"Y","","",2,"","","","","Y","","",3,5,2,4,"Deep Climb","","Not at all","",""
37,360,"Y","","","","","","","","Y","","",3,2,1,2,"No Climb","","Not at all","",""
37,3049,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
36,3786,"Y","","","","","","","","Y","","",8,3,1,2,"","","Not at all","",""
36,8896,"Y","","","","","","","","N","","","","","",2,"No Climb","","Not at all","Other",""
36,8302,"Y","","","","","",1,"","N","","","","","",4,"Deep Climb","","Not at all","",""
36,1899,"Y","","","","","","","","Y","","",4,4,"",1,"No Climb","","Not at all","",""
36,8302,"Y","","","","","",1,"","N","","","","","",5,"Deep Climb","","Not at all","",""
36,2928,"Y","","","","","","","","N","","",3,"","","","No Climb","","Partially","",""
38,10423,"Y","","","","","","","","Y","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match)",""
38,2412,"Y","","",1,"","","","","Y","","",6,"","","","Deep Climb","","Not at all","",""
38,3219,"Y","","",1,"","","","","N","","","",2,"",1,"Deep Climb","","Not at all","Stuck game piece (for rest of match)",""
39,5295,"N","","","","","","","","N","","","","","","","No Climb","","Partially","",""
42,5683,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
41,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
41,4180,"N","","","","","","","","N","","","","","","","","","Not at all","",""
41,3786,"Y","","",1,"","","","","N","","",2,"","","","No Climb","","Not at all","Something broke (minor)",""
41,4915,"Y","","",2,"","","","","Y","","",4,1,"",4,"Deep Climb","","Not at all","",""
41,1899,"Y","","","","","",1,"","Y","","",1,3,4,2,"No Climb","","Not at all","",""
40,3070,"N","","","","","","","","Y","","",5,"","",1,"No Climb","","Not at all","",""
35,4579,"Y","","","","","","","","N","","","","","",4,"","","Not at all","",""
40,10498,"Y","","","","","","","","N","","","","","",6,"No Climb","","Not at all","",""
40,2928,"Y","","",1,"","","","","N","","",4,1,"","","No Climb","","Not at all","Other",""
40,3588,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Stuck game piece (for rest of match)",""
39,2980,"Y","","","","","","","","N","","",1,"","",2,"No Climb","","Not at all","",""
39,2557,"Y","","","","","","",1,"N","","","","","",18,"No Climb","","Not at all","",""
39,3681,"Y","","",1,"","","","","Y","","",3,3,1,"","Deep Climb","","Not at all","",""
39,3663,"Y","",0,1,0,0,0,"","N","",3,"",1,3,2,"Deep Climb","","Not at all","",""
39,9023,"Y","","",2,"","","","","N","","",4,7,2,5,"No Climb","","Not at all","",""
40,4450,"Y","",1,"","","","",2,"Y","",1,5,"","","","No Climb","","Not at all","",""
35,2980,"Y","","","","","","","","N","","",1,"","","","No Climb","","Not at all","Emergency Stop , Something broke (major)",""
35,2910,"Y","","",2,2,"","","","N",3,4,6,6,6,"","Deep Climb","","Not at all","",""
35,3681,"Y","","",1,"","","","","N","","",1,3,2,"","Deep Climb","","Not at all","Auto Stop",""
31,8051,"Y","","",1,"","","","","N","","",5,"","","","Deep Climb","","Not at all","",""
31,4450,"Y","","","","","","",3,"Y",2,"",6,"","","","No Climb","","Not at all","",""
31,3574,"Y","","","","","","","","N","","","","",4,3,"No Climb","","Not at all","",""
31,5295,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
31,4915,"Y","","",1,"","",1,"","N","","",3,"","","","No Climb","","Not at all","Fell Over",""
30,3070,"Y","","","","","","","","N","","",7,"","",2,"No Climb","","Not at all","Browning out/connection issues",""
30,2557,"Y","","","","","",2,"","N","","","","","",20,"No Climb","","Not at all","",""
32,2907,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
30,10423,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
30,8302,"Y","","","","","","",1,"N","","","","","",3,"Deep Climb","","Not at all","",""
29,3663,"Y","","",1,"","","","","N","","",1,"",2,4,"Deep Climb","","Not at all","",""
29,9023,"Y","","",2,"","","","","Y","","",5,2,4,4,"No Climb","","Not at all","",""
29,2910,"Y","","",2,"","","","","N",2,4,5,6,6,1,"Deep Climb","","Not at all","",""
29,8896,"N","","","","","","","","N","","","","","","","No Climb","","Not at all","Did not show up",""
28,3588,"Y","","","","","","","","N","","","","","","","No Climb","","Partially","",""
28,3049,"Y","","","","","","","","Y","","","",3,"","","No Climb","","Not at all","",""
30,3681,"Y","","","","","","",1,"N","","",5,"","","","Deep Climb","","Not at all","Auto Stop",""
42,5683,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
32,2046,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Something broke (major)",""
32,360,"Y","","",2,"","","","","N","","",9,4,"","","Deep Climb","","Not at all","",""
35,10498,"Y","","","","","",1,"","N","","","","","",4,"No Climb","","Not at all","",""
35,2557,"Y","","","","","",1,"","N","","","","",0,16,"No Climb","","Not at all","",""
34,3588,"N","","","","","","","","N","","","","","","","No Climb","","Not at all","Emergency Stop , Auto Stop , Browning out/connection issues",""
34,10423,"Y","","","","","","","","N","",1,"","","","","No Climb","","Not at all","",""
34,8303,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","Emergency Stop",""
34,9023,"Y","","","","","","","","Y","","",7,6,2,"","","","Not at all","",""
34,3070,"N","","","","","","","","Y","","",3,"","","","No Climb","","Not at all","Other",""
32,3876,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
34,2412,"Y","","",1,"","","","","N","","",7,"","","","No Climb","","Not at all","",""
33,1318,"Y","","",2,"","","","","Y","","",5,4,"",1,"Deep Climb","","Not at all","",""
33,8248,"Y","","","","","","","","N","","",3,"","","","No Climb","","Not at all","",""
33,488,"Y","","",2,"","","","","N","","",3,3,1,2,"No Climb","","Not at all","",""
33,3663,"Y","","",3,"","","","","Y","","","",3,1,3,"Deep Climb","","Not at all","",""
33,3219,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
32,4173,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","",""
32,3049,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
33,4180,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Auto Stop",""
28,3219,"Y","","",1,0,0,"","","Y","","","",3,1,"","Deep Climb","","Not at all","Auto Stop",""
42,2046,"Y","","",1,"","","","","N","","",1,4,2,1,"Deep Climb","","Not at all","",""
42,8302,"Y","","","","","","","","N","","","","","",5,"Deep Climb","","Not at all","",""
52,2980,"Y","","","","","","","","N","","","","","","","No Climb","","Entire match","Browning out/connection issues",""
52,4579,"Y","","","","","","","","N","","","","","","","No Climb","","Not at all","",""
51,2046,"Y","","",1,"","","","","Y","","",4,4,"","","Deep Climb","","Not at all","",""
