"Team Number","What kind of drivetrain do you have?","What kind of coral intake do you have? (if any)","What coral levels can you score?","What can you do with algae?","What kind of climb can your robot do?","Can you give a description of your autos?","What is your favorite part of your team's robot?","What are common failure points on your robot OR the most recent thing that has been fixed?","Describe your robot/strategy in a few words","Notes/Comments","Take another picture (if you want)",""
4915,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","About 2.8 coral. Scores 2 L4 then gets close to scoring another.

Can score on any branch with any coral station. Something like 40000 combinations","The autos are really cool and fit with any alliance's needs","The robot is quite reliable but sometimes coral gets briefly stuck for a few seconds in the funnel.","L4 Coral Bot with Deep Climb","","",""
3049,"Swerve","Coral Station","L3 , L2","De-algae l2 , De-algae l3","Shallow","Drive forward","Intake is quike","Code problems","Depends on teammates; mostly coral","","",""
8302,"Tank","Coral Station","L1","","Deep","Drive forward and score a L1","The deep climb similar design to ours","The coral intake ripped off from the cage","Score the L1s then climb","","",""
3070,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","",3,"Elevator","Space issues","Coral cycles, l4, split reef","","",""
3219,"Swerve","Coral Station","L4 , L3 , L2","","Deep","Middle autos worked","Climb","Intake but maybe fixed","Coral or defense","","",""
3574,"Swerve","Coral Station","L4 , L3 , L2 , L1","","Deep","Middle start, l3","Climber","N/a","Coral cycles","","",""
3588,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","L4, drive forwad","Funnel,","Elevator","Flex","","",""
2989,"Swerve","Coral Station","L4 , L3 , L2 , L1","","","L4 for 1, and 1.5","Elevator, clips","No drive practice","Coral, defense","","",""
3681,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","One that scores one L4 one that scores L4 and goes to station","Climber self built","Falling over","Going back and forth L4 L3","","",""
3049,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Shallow","Leave zone","Intake, funnel, easy for human player","Swerve code last comp, fixed now","Cycling as much as possible,score as many coral as possible, can do defense","","",""
3663,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","Leave, 3.5 coral auto , 3 L4 and ready to score a fourth during first moments of teleop","Auto allign","Doing pretty good","Flexible, whatever’s needed","","",""
8051,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","Deep","One L4, 2 L4, consistent","Climber","Elevator, fixed it by adding supports, swerve wheel melted carpet onto wheel last comp, got caught on something","Not sure","","",""
3786,"Swerve","Coral Station","L4 , L3 , L2","De-algae l3 , Score in Processor , Score in Net","",2,"Elevator/intake/shooter system","Tried to make changes to funnel to better catch coral","More for coral than defense, L4 first then move down levels, ambitiously one in ten seconds","","",""
