"Team Number","Match Number","Leave","Auto Algae Scored","Auto L1 Coral","Auto L2L3 Coral","Auto L4 Coral","Algae Scored","L1 Coral","L2L3 Coral","L4 Coral","Climb Status","Algae Scoring","Did this team remove algae?","Did any issues seem to occur during this match?",""
4915,9,"N","","","","","","","","","No Climb","No algae scored","N","",""
9449,47,"Y","","","",2,"","",4,8,"No Climb","No algae scored","Y","",""
8032,47,"Y","","","","","","",1,"","Deep Climb","No algae scored","N","",""
3049,46,"Y","","","","",1,"","","","No Climb","No algae scored","N","Other (explain in comments)",""
9023,46,"Y","","","",1,"","","",10,"No Climb","No algae scored","N","",""
4180,46,"Y","","","","","",2,"",3,"No Climb","No algae scored","N","",""
4180,46,"Y","","","","","",3,"",3,"No Climb","No algae scored","N","",""
8248,46,"Y","","","","","","","","","Deep Climb","No algae scored","N","",""
3049,46,"Y","","","","","",2,"","","No Climb","No algae scored","N","",""
948,45,"Y","","","",1,"","","",3,"No Climb","No algae scored","Y","",""
6350,45,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2910,45,"Y","","","",1,0,3,8,4,"No Climb","No algae scored","Y","",""
2927,47,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2910,45,"Y","","","",1,"",2,7,7,"No Climb","No algae scored","Y","",""
6350,45,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2412,44,"Y","","","",1,"","",2,4,"No Climb","No algae scored","N","",""
4915,44,"Y","","","",0,"",1,5,3,"No Climb","","Y","Auto missed , Other (explain in comments)",""
9442,44,"Y","","",0,1,"","",8,7,"No Climb","No algae scored","Y","",""
4915,44,"Y","","","","","","",4,3,"No Climb","No algae scored","Y","",""
9036,43,"Y","","","","","","",1,"","No Climb","No algae scored","Y","Other (explain in comments)",""
2906,43,"Y","","","","",0,6,"",0,"No Climb","No algae scored","N","",""
2906,43,"Y","","","","","",6,"","","No Climb","No algae scored","N","",""
9036,43,"Y","","","","","",2,"","","No Climb","No algae scored","Y","",""
1983,42,"Y","","","","","",1,3,"","No Climb","No algae scored","Y","",""
5827,42,"Y","","","","","","","",5,"No Climb","No algae scored","N","",""
3681,45,"Y","","","","","","",3,3,"No Climb","No algae scored","N","",""
9442,47,"Y","","","",2,"","",4,9,"No Climb","No algae scored","Y","",""
488,47,"Y","","","",1,"","","",10,"No Climb","No algae scored","N","",""
9442,47,"Y","","","",2,"","",3,9,"No Climb","No algae scored","Y","",""
4980,50,"Y","","","","","","","",3,"No Climb","No algae scored","N","",""
3588,50,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
8248,49,"Y","","","","","","","","","No Climb","No algae scored","N","",""
5827,48,"Y","","","",1,"","",3,5,"No Climb","No algae scored","Y","",""
949,49,"Y","","","","",2,"","","","No Climb","Only processor","N","Stuck game piece , Other (explain in comments)",""
2910,49,"Y","","",0,2,"",4,8,4,"Deep Climb","No algae scored","Y","",""
3681,29,"Y","","","","","","",1,3,"","No algae scored","Y","",""
949,49,"Y","","","","",1,"","","","No Climb","No algae scored","N","",""
4918,49,"Y","","","","","",1,2,"","No Climb","No algae scored","N","",""
2910,49,"Y","",0,0,1,"",4,7,5,"Deep Climb","No algae scored","Y","",""
949,49,"Y","","","","",2,"","","","No Climb","Only processor","N","Stuck game piece , Other (explain in comments)",""
492,48,"N",0,2,2,2,"","","","","No Climb","No algae scored","N","",""
492,48,"N","","","","","",1,3,2,"No Climb","","N","Auto Stop",""
948,48,"Y","","","",1,"","","",9,"No Climb","No algae scored","N","",""
948,48,"Y","","","",1,"","","",6,"Deep Climb","No algae scored","N","",""
492,48,"Y","","","",0,"",2,4,2,"No Climb","No algae scored","N","",""
948,48,"Y","","","",1,"","","",9,"Deep Climb","No algae scored","N","",""
1294,48,"N","","","","","","","","","No Climb","No algae scored","N","Stuck game piece , Other (explain in comments)",""
