"Team Number","What kind of drivetrain do you have?","What kind of coral intake do you have? (if any)","What coral levels can you score?","What can you do with algae?","What kind of climb can your robot do?","Can you give a description of your autos?","What is your favorite part of your team's robot?","What are common failure points on your robot OR the most recent thing that has been fixed?","Describe your robot/strategy in a few words",""
4915,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","","Variable autos that have like 20000 combinations or something? Any branch, any coral station.","The variable autos","The coral sometimes gets stuck on the funnel but it is easy and quickly solved and the rest of the robot is very consistent","Coral bot",""
492,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","Leave the line, center l4 auto","Coral arm hasn’t broken yet","Inconsistent auto, L1, climb","L4s,",""
4180,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","Working on it, auto issues","","","Coral L4",""
9442,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","",2,"Plates spray painted red","","Usually coral, l4 and slowly move down",""
5827,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Processor","Deep",1,"Climber, end effected???","No?","Score l4, de alhify",""
4180,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","","Moves forward","Funnel","Code","Score on l3 and 4",""
2927,"Tank","Coral Station","L1","","","N/a","Shooting coral","Moving wonky and coral shooting","Guard coral and pin people",""
2906,"Tank","Coral Station","L1","","","Move forward","Board under the robot unicorn stickwr","Motors","Move forward",""
1899,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","Leave, leave l1, other not tested","End effector","Intake a bit wonky,","Coral cycles",""
948,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","","","","",""
6350,"Swerve","Coral Station","L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","Move","Climber before it broke","Climber","Coral cycle",""
8248,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","Leave- more soon?","Overall design looks cool, climb","Coding, manipulation of coral","Defense bot- little penalty",""
1899,"Swerve","Coral Station","L4 , L3 , L2 , L1","Score in Processor","","Best case L4, mostly L1","Name plates on sides, elevator","Swerve, fixed now","Cycle L4 coral, can do algae",""
